#x	y	z	B_x	B_y	B_z
-1	0.7	0.4	2.17e-08	-9.79e-08	-1.31e-07
-1	0.7	0.5	9.38e-09	-8.53e-08	-1.26e-07
-1	0.7	0.6	-1.33e-09	-7.25e-08	-1.19e-07
-1	0.7	0.7	-1.01e-08	-6.05e-08	-1.09e-07
-1	0.7	0.8	-1.7e-08	-4.97e-08	-9.94e-08
-1	0.7	0.9	-2.2e-08	-4.04e-08	-8.91e-08
-1	0.7	1	-2.53e-08	-3.26e-08	-7.91e-08
-1	0.8	-1	4.2e-08	-3.18e-08	1.13e-09
-1	0.8	-0.9	4.78e-08	-3.83e-08	-1.73e-09
-1	0.8	-0.8	5.39e-08	-4.59e-08	-6.15e-09
-1	0.8	-0.7	6.01e-08	-5.46e-08	-1.25e-08
-1	0.8	-0.6	6.59e-08	-6.43e-08	-2.12e-08
-1	0.8	-0.5	7.02e-08	-7.47e-08	-3.23e-08
-1	0.8	-0.4	7.24e-08	-8.53e-08	-4.54e-08
-1	0.8	-0.3	7.15e-08	-9.55e-08	-5.99e-08
-1	0.8	-0.2	6.73e-08	-1.04e-07	-7.46e-08
-1	0.8	-0.1	6e-08	-1.11e-07	-8.82e-08
-1	0.8	0	5.04e-08	-1.14e-07	-9.95e-08
-1	0.8	0.1	3.94e-08	-1.13e-07	-1.08e-07
-1	0.8	0.2	2.79e-08	-1.09e-07	-1.13e-07
-1	0.8	0.3	1.68e-08	-1.01e-07	-1.15e-07
-1	0.8	0.4	6.4e-09	-9.11e-08	-1.13e-07
-1	0.8	0.5	-2.83e-09	-8.02e-08	-1.1e-07
-1	0.8	0.6	-1.07e-08	-6.9e-08	-1.04e-07
-1	0.8	0.7	-1.7e-08	-5.82e-08	-9.62e-08
-1	0.8	0.8	-2.18e-08	-4.85e-08	-8.79e-08
-1	0.8	0.9	-2.52e-08	-4e-08	-7.94e-08
-1	0.8	1	-2.74e-08	-3.27e-08	-7.1e-08
-1	0.9	-1	3.69e-08	-3.03e-08	-1.97e-09
-1	0.9	-0.9	4.11e-08	-3.61e-08	-4.94e-09
-1	0.9	-0.8	4.54e-08	-4.28e-08	-9.19e-09
-1	0.9	-0.7	4.94e-08	-5.04e-08	-1.5e-08
-1	0.9	-0.6	5.27e-08	-5.88e-08	-2.25e-08
-1	0.9	-0.5	5.47e-08	-6.77e-08	-3.18e-08
-1	0.9	-0.4	5.47e-08	-7.67e-08	-4.25e-08
-1	0.9	-0.3	5.22e-08	-8.52e-08	-5.42e-08
-1	0.9	-0.2	4.73e-08	-9.25e-08	-6.58e-08
-1	0.9	-0.1	4.01e-08	-9.79e-08	-7.66e-08
-1	0.9	0	3.14e-08	-1e-07	-8.56e-08
-1	0.9	0.1	2.19e-08	-1e-07	-9.23e-08
-1	0.9	0.2	1.24e-08	-9.65e-08	-9.65e-08
